Year,Title,Character(s),Actor,Notes,Country,Identity
1985,Once Bitten,Sebastian,Cleavon Little,"Sebastian is the flamboyant, stereotypically gay servant to the Countess. The film contains a running gag of Sebastian continuously ""coming out"" of the Countess' closet.",United States,Gay
1985,Spies Like Us,Russian Rocket Crew Member No. 1,Bjarne Thomsen,,United States,Gay
1985,Spies Like Us,Russian Rocket Crew Member No. 2,Sergei Rousakov,,United States,Gay
1985,St. Elmo's Fire,Ron Dellasandro,Matthew Laurance,,United States,Gay
1985,Westler,Felix,Sigurd Rachman,Felix and Thomas are lovers who are divided by the Berlin Wall.,West Germany,Gay
1985,Westler,Thomas,Rainer Strecker,,West Germany,Gay
1986,Absolute Beginners,Henley of Mayfair,James Fox,,United Kingdom,Gay
1986,Caravaggio,Caravaggio,Nigel Terry,,United Kingdom,Gay
1986,Caravaggio,Jerusaleme,Spencer Leigh,,United Kingdom,Gay
1986,The Decline of the American Empire,Claude,Yves Jacques,,Canada,Gay
1986,Mala Noche,Walt Curtis,Tim Streeter,"Walt falls in love with Mexican migrant, Johnny.",United States,Gay
1986,The Morning After,Frankie,James Haake,"Frankie is the drag queen friend of Alex, who lets her borrow clothing while she is on the run from the police for suspicion of murder.",United States,Gay
1986,Parting Glances,Michael,Richard Ganoung,,United States,Gay
1986,Parting Glances,Nick,Steve Buscemi,,United States,Gay
1986,Parting Glances,Robert,John Bolger,,United States,Gay
1986,Tough Guys,Bar Patron,Matthew Faison,,United States,Gay
1987,Beyond Therapy,Bob,Christopher Guest,,United States,Gay
1987,Friends Forever,Patrick,Thomas Sigsgaard,"Partrick is the best friend of the main protagonist, Kristian, and develops a relationship with Mads, the captain of the soccer team.",Denmark,Gay
1987,Friends Forever,Mads,Morten Stig Christensen,,Denmark,Gay
1987,The Heart Exposed,Jean-Marc,Gilles Renaud,Jean-Marc and Mathieu fall in love despite a ten-year age difference and the complication that Mathieu is the father of a five-year-old son.,Canada,Gay
1987,The Heart Exposed,Mathieu,Michel Poirier,,Canada,Gay
1987,Law of Desire,Pablo Quintero,Eusebio Poncela,,Spain,Gay
1987,Law of Desire,Antonio Benítez,Antonio Banderas,,Spain,Gay
1987,Law of Desire,Juan,Miguel Molina,,Spain,Gay
1987,Maurice,Clive Durham,Hugh Grant,,United Kingdom,Gay
1987,Maurice,Maurice Hall,James Wilby,,United Kingdom,Gay
1987,Maurice,Alec Scudder,Rupert Graves,,United Kingdom,Gay
1987,No Way Out,Scott Pritchard,Will Patton,,United States,Gay
1987,Prick Up Your Ears,Joe Orton,Gary Oldman,,United Kingdom,Gay
1987,Prick Up Your Ears,Kenneth Halliwell,Alfred Molina,,United Kingdom,Gay
1987,Radio Days,Fred,Robert Joy,"Fred's coming out is treated with compassion and understanding by his girlfriend, Bea, when he bursts into tears after hearing ""I'm Getting Sentimental Over You"", a song which reminds him of his departed lover.",United States,Gay
1987,Stage Fright,Brett,Giovanni Lombardo Radice,Brett is one of the actors in a theater troupe being targeted by a killer wearing an owl mask.,Italy,Gay
1987,Tough Guys Don't Dance,Lonnie Pangborn,R. Patrick Sullivan,,United States,Gay
1987,Withnail and I,Monty,Richard Griffiths,,United Kingdom,Gay
1988,The Fruit Machine,Eddie,Emile Charles,"Eddie and Michael are best friends who are on the run from a killer after they witness him murdering a drag queen at a gay club called ""The Fruit Machine.""",United Kingdom,Gay
1988,The Fruit Machine,Michael,Tony Forsyth,,United Kingdom,Gay
1988,Madame Sousatzka,Mr. Cordle,Geoffrey Bayldon,,"United Kingdom, Canada",Gay
1988,Once More,Louis,Jean-Louis Rolland,The film follows Louis' life through the span of 10 years.,France,Gay
1988,Salome's Last Dance,Lord Alfred 'Bosie' Douglas,Douglas Hodge,,"United Kingdom, United States",Gay
1988,Torch Song Trilogy,Arnold Beckoff,Harvey Fierstein,,United States,Gay
1988,Torch Song Trilogy,Alan Simon,Matthew Broderick,,United States,Gay
1988,Torch Song Trilogy,David,Eddie Castrodad,,United States,Gay
1988,We Think the World of You,Frank Meadows,Alan Bates,Frank is a middle-aged man who helps support the younger and bisexual Johnny and his family.,United Kingdom,Gay
1989,Apartment Zero,Adrian LeDuc,Colin Firth,,"United Kingdom, Argentina",Gay
1989,Coming Out,Philipp Klarmann,Matthias Freihof,,East Germany,Gay
1989,Coming Out,Matthias,Dirk Kummer,,East Germany,Gay
1989,Fun Down There,Buddy Fields,Michael Waite,,United States,Gay
1989,Fun Down There,Joseph,Nickolas B. Nagourney,,United States,Gay
1989,Getting It Right,Harry,Richard Huw,"Harry is the best friend of the film's protagonist, Gavin. Winthrop is Harry's boyfriend.","United Kingdom, United States",Gay
1989,Getting It Right,Winthrop,Kevin Drinkwater,,"United Kingdom, United States",Gay
1989,Last Exit to Brooklyn,Harry Black,Stephen Lang,Black is a union strike overseer trying to hide his homosexuality in a bitter marriage.,"West Germany, United States",Gay
1989,Longtime Companion,David,Bruce Davison,"Bruce, a wealthy man, becomes the caregiver of his lover, Sean, a soap opera writer, after he is infected with the HIV virus. The film depicts the increasing effect of HIV/AIDS on a group of gay men during eight-years, between 1981 and 1989.
Willy and Fuzzy begin a relationship and move in together.",United States,Gay
1989,Longtime Companion,Fuzzy,Stephen Caffrey,,United States,Gay
1989,Longtime Companion,Sean,Mark Lamos,,United States,Gay
1989,Longtime Companion,Willy,Campbell Scott,,United States,Gay
1989,Looking for Langston,James,Akim Mogaji,James and Beauty fall in love in 1920s Harlem.,United Kingdom,Gay
1989,Looking for Langston,Beauty,Matthew Baidoo,,United Kingdom,Gay
1990,Europa Europa,Robert Kellerman,André Wilms,Robert is gay and Solek is Jewish. They hold each other's secret in solidarity while fighting in the German Army during World War II.,"Germany, France, Poland",Gay
1990,Miller's Crossing,Bernie Bernbaum,John Turturro,,United States,Gay
1990,Miller's Crossing,Eddie Dane,J.E. Freeman,,United States,Gay
1990,Miller's Crossing,Mink Larouie,Steve Buscemi,,United States,Gay
1990,Q & A,Josè Malpica,International Chrysis,,United States,Gay
1990,Q & A,Roger Montalvo,Paul Calderón,,United States,Gay
1991,The Adjuster,Larry,Stephen Ouimette,,Canada,Gay
1991,Edward II,Edward II,Steven Waddington,,United Kingdom,Gay
1991,Edward II,Piers Gaveston,Andrew Tiernan,,United Kingdom,Gay
1991,The Fisher King,Homeless Cabaret Singer,Michael Jeter,,United States,Gay
1991,Frankie and Johnny,Tim,Nathan Lane,,United States,Gay
1991,The Hours and Times,Brian Epstein,David Angus,,United States,Gay
1991,JFK,Willie O'Keefe,Kevin Bacon,Willie is a male prostitute serving five years in prison for soliciting. He was romantically involved with Clay.,United States,Gay
1991,JFK,Clay Shaw,Tommy Lee Jones,,United States,Gay
1991,Madonna: Truth or Dare,Himself,Gabriel Trupin,,United States,Gay
1991,My Own Private Idaho,Mike Waters,River Phoenix,,United States,Gay
1991,Naked Lunch,Yves Cloquet,Julian Sands,,"Canada, United Kingdom, Japan",Gay
1991,The Prince of Tides,Eddie Detreville,George Carlin,,United States,Gay
1991,Queens Logic,Eliot,John Malkovich,,United States,Gay
1991,Young Soul Rebels,Caz,Mo Sesay,,United Kingdom,Gay
1992,Being at Home with Claude,Yves,Roy Dupuis,,Canada,Gay
1992,Being at Home with Claude,Claude,Jean-François Pichette,,Canada,Gay
1992,Inside Monkey Zetterland,Brent Zetterland,Tate Donovan,"Brent is Monkey's brother, who is a hairdresser.",United States,Gay
1992,The Living End,Jon,Craig Gilmore,,United States,Gay
1992,The Living End,Luke,Mike Dytri,,United States,Gay
1992,The Long Day Closes,Bud,Leigh McCormack,,United Kingdom,Gay
1992,Passed Away,Boyd Pinter,Tim Curry,,United States,Gay
1992,Peter's Friends,Peter,Stephen Fry,,United Kingdom,Gay
1992,Single White Female,Graham Knox,Peter Friedman,,United States,Gay
1992,Swoon,Richard Loeb,Daniel Schlachet,,United States,Gay
1992,Swoon,Nathan Leopold Jr.,Craig Chester,,United States,Gay
1992,When the Party's Over,Banks,Kris Kamm,,United States,Gay
1993,Blue,Himself,Derek Jarman,This was Jarman's final experimental film and documents his last years while living with AIDS. It was released four months before his death.,United Kingdom,Gay
1993,Even Cowgirls Get the Blues,The Countess,John Hurt,The Countress is a femine hygiene products mogul.,United States,Gay
1993,Farewell My Concubine,Cheng Dieyi,Leslie Cheung,"The film tells the troubled relationship between Peking opera actors Dieyi and Duan Xiaolou, and Xiaolou's wife Juxian.",British Hong Kong,Gay
1993,Grief,Mark,Craig Chester,Mark is a writer who contemplates suicide on the one year anniversary of his lover's death.,United States,Gay
1993,Love and Human Remains,David McMillan,Thomas Gibson,,Canada,Gay
1993,M. Butterfly,René Gallimard,Jeremy Irons,,United States,Gay
1993,M. Butterfly,Song Liling,John Lone,,United States,Gay
1993,Mrs. Doubtfire,Frank,Harvey Fierstein,"""Uncle Frank"" is Daniel's brother. He and his partner ""Aunt Jack"" are makeup artists.",United States,Gay
1993,Mrs. Doubtfire,Jack,Scott Capurro,,United States,Gay
1993,Naked in New York,Chris,Ralph Macchio,Chris is Jake's best friend who kisses him during a party.,United States,Gay
1993,Philadelphia,Andrew Beckett,Tom Hanks,"Beckett was fired from his employment as a senior associate attorney at the largest corporate law firm in Philadelphia after they found out he had AIDS.
Alvarez is Beckett's partner.
Philadelphia is the first major Hollywood film to deal with the subject of AIDS.",United States,Gay
1993,Philadelphia,Miguel Alvarez,Antonio Banderas,,United States,Gay
1993,Six Degrees of Separation,Paul,Will Smith,,United States,Gay
1993,This Boy's Life,Arthur Gayle,Jonah Blechman,,United States,Gay
1993,The Wedding Banquet,Wai-Tung Gao,Winston Chao,,"Taiwan, United States",Gay
1994,"The Adventures of Priscilla, Queen of the Desert","Anthony ""Tick"" Belrose/Mitzi Del Bra",Hugo Weaving,"Near the end of the film, Bernadette is shocked to learn that Anthony/Mitzi was not only once married to a woman but also has a son.",Australia,Gay
1994,Der bewegte Mann,Norbert Brommer,Joachim Król,"Walter is a crossdresser using the name ""Waltraud"".",Germany,Gay
1994,Der bewegte Mann,Horst/Metzger,Armin Rohde,,Germany,Gay
1994,Der bewegte Mann,Walter/Waltraud,Rufus Beck,,Germany,Gay
1994,Double Happiness,Andrew Chau,Johnny Mah,,Canada,Gay
1994,Drunken Master III,Gay bus passenger,Simon Yam,,Hong Kong,Gay
1994,Ed Wood,"John ""Bunny"" Breckinridge",Bill Murray,Bunny is Ed's drag queen friend.,United States,Gay
1994,Four Weddings and a Funeral,Gareth,Simon Callow,,United Kingdom,Gay
1994,Four Weddings and a Funeral,Matthew,John Hannah,,United Kingdom,Gay
1994,A Man of No Importance,Alfred Byrne,Albert Finney,"Byrne is a closeted homosexual bus conductor in 1963 Dublin. His sister tries to find him a suitable woman, but his real passion is putting on amateur theatre productions of Oscar Wilde plays, particularly Salome. The film deals with his struggle, temptation, and friendships, and how they are affected by his homosexuality.","United Kingdom, Ireland",Gay
1994,Oh! My Three Guys,Ching Yu-hoi,Lau Ching-wan,"Good friends Kau, Hoi and Fa are homosexual men. Hoi works in an advertising firm while Kau and Fa have not found a suitable job yet. Hoi's new female colleague Mei became interested in him.",British Hong Kong,Gay
1994,Oh! My Three Guys,Fa,Dayo Wong,,British Hong Kong,Gay
1994,Oh! My Three Guys,Kau Ku-neung,Eric Kot,,British Hong Kong,Gay
1994,Prêt-à-Porter,Cy Bianco,Forest Whitaker,Bianco and Romney are fashion designers.,United States,Gay
1994,Prêt-à-Porter,Cort Romney,Richard E. Grant,,United States,Gay
1994,Priest,Father Greg Pilkington,Linus Roache,,United Kingdom,Gay
1994,Priest,Graham,Robert Carlyle,,United Kingdom,Gay
1994,Pulp Fiction,Zed,Peter Greene,He rapes Marsellus Wallace.,United States,Gay
1994,Reality Bites,Sammy Gray,Steve Zahn,,United States,Gay
1994,The Sum of Us,Jeff Mitchell,Russell Crowe,,Australia,Gay
1994,Threesome,Eddy,Josh Charles,,United States,Gay
1994,Trevor,Trevor,Brett Barsky,,United States,Gay
1994,Uncovered,César,John Wood,César is Julia's guardian.,United Kingdom,Gay
1994,Wagons East,Julian Rogers,John C. McGinley,,United States,Gay
1994,Wild Reeds,François Forestier,Gaël Morel,,France,Gay
1995,An Awfully Big Adventure,Meredith Potter,Hugh Grant,"Meredith is a manager, actor and director of a troupe.",United Kingdom,Gay
1995,The Basketball Diaries,Swifty,Bruno Kirby,,United States,Gay
1995,Billy Madison,Max Anderson,Josh Mostel,"The principal of the elementary school, and a former masked wrestler known as the ""Revolting Blob"".",United States,Gay
1995,Braveheart,Prince Edward,Peter Hanly,,United States,Gay
1995,Carrington,Lytton Strachey,Jonathan Pryce,"Lytton is the sadomasochistic lover of Roger.
Lytton was a founding member of the Bloomsbury Group. His homosexuality, as depicted in the film, was well known.","France, United Kingdom",Gay
1995,Clueless,Christian Stovitz,Justin Walker,,United States,Gay
1995,Home for the Holidays,Tommy Larson,Robert Downey Jr.,Tommy married his boyfriend Jack in a beach wedding.,United States,Gay
1995,Home for the Holidays,Jack,Sam Slovick,,United States,Gay
1995,Jefferson in Paris,Richard Cosway,Simon Callow,,"France, United States",Gay
1995,Jeffrey,Darius,Bryan Batt,,United States,Gay
1995,Jeffrey,Steve Howard,Michael T. Weiss,,United States,Gay
1995,Jeffrey,Jeffrey,Steven Weber,,United States,Gay
1995,Jeffrey,Sterling,Patrick Stewart,,United States,Gay
1995,Nixon,J. Edgar Hoover,Bob Hoskins,,United States,Gay
1995,Party Girl,Derrick,Anthony DeSando,,United States,Gay
1995,Stonewall,La Miranda,Guillermo Díaz,,"United Kingdom, United States",Gay
1995,Stonewall,Matty Dean,Frederick Weller,,"United Kingdom, United States",Gay
1995,Stonewall,Vinnie,Bruce MacVittie,,"United Kingdom, United States",Gay
1995,Stonewall,Bostonia,Duane Boutte,,"United Kingdom, United States",Gay
1995,Stonewall,Ethan,Brendan Corbalis,,"United Kingdom, United States",Gay
1995,"To Wong Foo, Thanks for Everything! Julie Newmar",Vida Boheme,Patrick Swayze,Vida and Noxeema are drag queens.,United States,Gay
1995,"To Wong Foo, Thanks for Everything! Julie Newmar",Noxeema Jackson,Wesley Snipes,,United States,Gay
1995,Total Eclipse,Arthur Rimbaud,Leonardo DiCaprio,"The film presents a historical account of the passionate and violent relationship between 19th-century French poets Arthur Rimbaud and Paul Verlaine, at a time of soaring creativity for both men.","United Kingdom, France, Belgium, Italy, United States",Gay
1995,Waiting to Exhale,David Matthews,Giancarlo Esposito,,United States,Gay
1996,Beautiful Thing,Ste Pearce,Scott Neal,,United Kingdom,Gay
1996,Beautiful Thing,Jamie Gangel,Glen Berry,,United Kingdom,Gay
1996,The Birdcage,Agador,Hank Azaria,,United States,Gay
1996,The Birdcage,Albert Goldman,Nathan Lane,,United States,Gay
1996,The Birdcage,Armand Goldman,Robin Williams,,United States,Gay
1996,Dream for an Insomniac,Rob,Michael Landes,Rob is apprehensive about coming out to his father.,United States,Gay
1996,Flirting with Disaster,Paul Harmon,Richard Jenkins,Tony and Paul are ATF agents who are in a relationship with each other.,United States,Gay
1996,Flirting with Disaster,Tony Kent,Josh Brolin,,United States,Gay
1996,Get on the Bus,Kyle,Isaiah Washington,Kyle is an ex-Marine who is the midst of breaking up with his lover Randall.,United States,Gay
1996,Get on the Bus,Randall,Harry Lennix,,United States,Gay
1996,Hollow Reed,Martyn Wyatt,Martin Donovan,"Martyn, a family doctor, married Hannah to hide his homosexuality, and they divorced after he finally came out.
Tom is Martyn's lover.","Germany, United Kingdom, Spain",Gay
